kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,er_min,er_cash,rsi_n,rsi_max,macd_pos,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,core,vol_max_v,v_xlk,v_tecl,use_credit
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.5,0.7,0.17559730697539022,-0.18780518977570027,1.0147681127735688,0.9349970955813831,0.256907771207356,-0.16175782546376172,1.081765799645799,1.5882246838494407,0.20726618205909775,-0.18780518977570027,1.046281941463757,1.1036232934065355,8.892105858403076,0.18434481264695501,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.5,1.0,0.1822943079729904,-0.2235822844234141,1.0081692949038665,0.8153343116745616,0.26892899638842804,-0.20306685254592505,1.056542856304333,1.324337246659239,0.21588723409749533,-0.2235822844234141,1.0300198388652448,0.9655829157226693,8.892105858403076,0.19640542308074022,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.55,0.7,0.19075849940009637,-0.20267293278766096,1.0142442647291123,0.9412134949463268,0.2765075306577365,-0.1800796680781176,1.0842147149099883,1.5354733469288104,0.2242400743958457,-0.20267293278766096,1.047294783053928,1.1064135270138933,8.892105858403076,0.20047877053751367,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.55,1.0,0.19754233408095567,-0.23242456692560876,1.0116326778302165,0.8499201986001002,0.2887163807830897,-0.20310671913659184,1.066205891890885,1.4215008839216405,0.232982697341652,-0.23242456692560876,1.036710549129465,1.0024013400279752,8.892105858403076,0.2116172785399541,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.6,0.7,0.20579748183107638,-0.22256731741821933,1.0132276977656567,0.9246527487428386,0.29595142297956634,-0.19809079599933443,1.0852700668968787,1.4940190506405997,0.2410821004356547,-0.22256731741821933,1.0473645356409789,1.0831873395977758,8.892105858403076,0.216776770771132,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.6,1.0,0.2126674614667099,-0.24127018926961175,1.0135989624116053,0.8814493912841457,0.30834640657262935,-0.20314658572726174,1.0730594913131457,1.5178517791414206,0.24994535767663173,-0.24127018926961175,1.041200671712621,1.035956238245935,8.892105858403076,0.22711309597009863,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.65,0.7,0.22070444648294374,-0.24222805414675097,1.0119406976938277,0.9111432086608456,0.3152227081990884,-0.21579451674711003,1.0854082872026705,1.4607540216997192,0.2577799900249067,-0.24222805414675097,1.0468429856159156,1.0642036940474855,8.892105858403076,0.23320442251171297,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.65,1.0,0.2276598261731715,-0.2501169482120972,1.0145533954850108,0.9102135133206478,0.32780217331703954,-0.20474351573567218,1.077851770384057,1.6010381190300476,0.2667628570018652,-0.2501169482120972,1.0441293229479223,1.066552502374419,8.892105858403076,0.24283852159186922,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.7,0.7,0.23546953539995896,-0.26164791913102103,1.010517792304131,0.899948053024824,0.3343045270535767,-0.23319414305145958,1.0849435850267404,1.4335888658224356,0.2743213961043569,-0.26164791913102103,1.0459546587843567,1.0484371403198112,8.892105858403076,0.24973614162835525,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.7,1.0,0.24250951377494245,-0.258962662072297,1.0148205090049163,0.9364651715977449,0.34706666014003273,-0.22238951357953096,1.0811247853853907,1.5606251147085437,0.2834227597504173,-0.258962662072297,1.0459425398325637,1.094454148263627,8.892105858403076,0.25875169603320664,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.75,0.7,0.249765607316762,-0.2812879931170804,1.008027674116982,0.8879355444539083,0.35289135804077,-0.25037152087746684,1.0833600028849917,1.4094708407889447,0.29038591727696383,-0.2812879931170804,1.043954063093278,1.032343805574725,8.892105858403076,0.26635048113060744,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.75,1.0,0.2572065682811808,-0.2730974805838702,1.0146202187242248,0.941812307207246,0.3661227463988104,-0.2397304538257703,1.0832730939169504,1.5272266854544005,0.29991256545366385,-0.2730974805838702,1.0469545647852825,1.098188693694516,8.892105858403076,0.2748200070128301,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.8,0.7,0.26389285941580365,-0.3006492562976917,1.0056550127699542,0.8777432635805584,0.37124687143551816,-0.26724829394242444,1.0816088426154133,1.38914589859084,0.306261530892487,-0.3006492562976917,1.041931853141188,1.0186671826962321,8.892105858403076,0.28303460373070005,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
