kind,trend_n,prox_thr,mom_n,vol_max,rsi_max,confirm_up,cb_vol_pct,tecl_w,trend_buffer,prox_n,mom_thr,vol_n,abs_vol_max,vix_max,require_slope,er_min,er_cash,rsi_n,macd_pos,confirm_style,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,n_neigh,nb_CAGR_mean,nb_CAGR_min,nb_maxDD_mean,nb_maxDD_worst,nb_Sharpe_mean,nb_frac_hit
v2vol,90,0.94,45,0.65,75.0,4,0.85,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.209126653350453,-0.3572888811403423,0.9239276734073706,0.5853153131521843,0.3188879965201692,-0.2909835208098366,0.9900291144587635,1.095897099714347,0.2503783146250116,-0.3572888811403423,0.9491849379826824,0.7007727579595838,11.343135037321872,0.2572545301140212,0.2951820855010179,0.4849581542637412,0.2198597602352409,9,0.25902528282771453,0.24167822061623023,-0.34106272414062183,-0.3813314196495672,0.9690017197227454,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.85,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.21830082556747032,-0.3813314196495672,0.91381296257748,0.5724700727993581,0.3356468014582348,-0.30257543766029604,0.989839232121614,1.1092995652709532,0.2622550396060739,-0.3813314196495672,0.9432456239727961,0.6877351985500667,11.343135037321872,0.27350911281849005,0.2951820855010179,0.4849581542637412,0.2198597602352409,10,0.26952052977644275,0.2503783146250116,-0.3608131846496526,-0.40467098298797166,0.9623403138315952,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.85,0.8,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.22724493017778813,-0.40467098298797166,0.9045021331106763,0.561554793229498,0.3520773412130571,-0.31403039366970176,0.9892568886897037,1.1211568953525348,0.2738591722673509,-0.40467098298797166,0.9375998950129841,0.6767452665996836,11.343135037321872,0.28987882877288795,0.2951820855010179,0.4849581542637412,0.2198597602352409,10,0.2818311434366404,0.2621279607197864,-0.38202723527393345,-0.42732065168413347,0.9572564404111727,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.85,0.85,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.23595243303210345,-0.42732065168413347,0.895926676409983,0.5521671655750319,0.36816146872047617,-0.3253494106553336,0.9884075725970741,1.131587937961555,0.28518054511834556,-0.42732065168413347,0.9322632642084431,0.6673689745496904,11.343135037321872,0.3063452219182424,0.2951820855010179,0.4849581542637412,0.2198597602352409,9,0.2936077514690414,0.27186420529111244,-0.3985276547236958,-0.44499787391016243,0.9552141152402598,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.88,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.19822710547174593,-0.3771278142337615,0.8827096100371311,0.5256231388673853,0.3198899833296094,-0.30334143233819133,0.9885540554637479,1.0545542060108963,0.24366240191517452,-0.3771278142337615,0.9253414341334014,0.6461003212140198,11.514137073060393,0.2583706780361861,0.2825152680389052,0.4854105406016738,0.23207419135942095,10,0.25188564123957846,0.23167821283675671,-0.3580113269384994,-0.4004282179037373,0.9451235977888783,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.88,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.20731857805671883,-0.4004282179037373,0.8752151373255986,0.5177421789654147,0.33647236357785015,-0.3147313060950314,0.9883015880327108,1.069078153529011,0.25540890334640043,-0.4004282179037373,0.9208516887022057,0.6378394227147114,11.514137073060393,0.27456471517914,0.2825152680389052,0.4854105406016738,0.23207419135942095,11,0.26249028647972156,0.24336242375782224,-0.37799583665359743,-0.42304734554107104,0.9398802619665093,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.88,0.8,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.21618205695577508,-0.42304734554107104,0.8682256053726499,0.5110114960756498,0.352721295559715,-0.325986606190818,0.9876359634012863,1.0820116190701643,0.26688295119389305,-0.42304734554107104,0.9164780038273302,0.6308583519240709,11.514137073060393,0.2908805469515376,0.2825152680389052,0.4854105406016738,0.23207419135942095,11,0.2746711122533226,0.2547777073266704,-0.3985511933462753,-0.44499787391016243,0.9360650410193526,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.88,0.85,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.22481106692102704,-0.44499787391016243,0.8617186185541282,0.5051958225005196,0.3686187550041229,-0.3371083366329055,0.9866891392504619,1.0934726761312066,0.2780744742102419,-0.44499787391016243,0.9122647193089767,0.624889444452448,11.514137073060393,0.30729877414195567,0.2825152680389052,0.4854105406016738,0.23207419135942095,10,0.2863387767461214,0.2659140542330529,-0.41416519198764534,-0.4543443703213458,0.9347589648291403,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.9,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.19016966098201626,-0.38761727431908477,0.852048302682465,0.49061193497137456,0.3007609516034979,-0.3317447493778407,0.9367554968019068,0.906603502142987,0.23167821283675671,-0.38761727431908477,0.8856966213359614,0.5976983694644121,10.317122822890749,0.2592503376158209,0.27256276860438816,0.48563673377064015,0.24180049762497172,10,0.24089827481973733,0.22361045021324788,-0.36691289864845344,-0.4105252882502761,0.9088167602561669,0.0
v2vol,90,0.94,45,0.65,75.0,4,0.9,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.19919999821514378,-0.4105252882502761,0.8464946477443797,0.48523197940902923,0.3172472267552513,-0.34267024903469234,0.940080283871207,0.9258090763611427,0.24336242375782224,-0.4105252882502761,0.8838584136928508,0.5928073878105573,10.317122822890749,0.2753957514735649,0.27256276860438816,0.48563673377064015,0.24180049762497172,11,0.2513367756571245,0.23167821283675671,-0.38679313181485214,-0.43276349915711954,0.9054453210576877,0.0
