date,state_held,state_signal,w_TECL,w_XLK,w_BIL,ret_gross,cost,ret_net,equity,drawdown,XLK_ret,TECL_ret,BIL_ret
2009-05-15,TECL,TECL,0.75,0.0,0.25,0.003178,0.0,0.003178,1.0683,-0.1201,0.0,0.004237,0.0
2009-05-18,TECL,TECL,0.75,0.0,0.25,0.059803,0.0,0.059803,1.1322,-0.0674,0.027379,0.07952,0.000654
2009-05-19,TECL,TECL,0.75,0.0,0.25,0.019338,0.0,0.019338,1.1541,-0.0494,0.005796,0.025857,-0.000218
2009-05-20,TECL,TECL,0.75,0.0,0.25,-0.02176,0.0,-0.02176,1.129,-0.0701,-0.010367,-0.028722,-0.000873
2009-05-21,TECL,TECL,0.75,0.0,0.25,-0.031294,0.0,-0.031294,1.0937,-0.0992,-0.017468,-0.041943,0.000655
2009-05-22,TECL,TECL,0.75,0.0,0.25,-0.009867,0.0,-0.009867,1.0829,-0.1081,0.003559,-0.013228,0.000218
2009-05-26,TECL,TECL,0.75,0.0,0.25,0.074264,0.0,0.074264,1.1633,-0.0418,0.025966,0.098947,0.000218
2009-05-27,TECL,TECL,0.75,0.0,0.25,-0.01503,0.0,-0.01503,1.1458,-0.0562,-0.009776,-0.020041,0.0
2009-05-28,TECL,TECL,0.75,0.0,0.25,0.0324,0.0,0.0324,1.1829,-0.0257,0.014532,0.043272,-0.000218
2009-05-29,TECL,TECL,0.75,0.0,0.25,0.023279,0.0,0.023279,1.2105,-0.003,0.010883,0.030966,0.000218
2009-06-01,TECL,TECL,0.75,0.0,0.25,0.076476,0.0,0.076476,1.303,0.0,0.028324,0.102232,-0.000791
2009-06-02,TECL,TECL,0.75,0.0,0.25,-0.012375,0.0,-0.012375,1.2869,-0.0124,-0.002202,-0.0165,0.0
2009-06-03,TECL,TECL,0.75,0.0,0.25,-0.013618,0.0,-0.013618,1.2694,-0.0258,-0.011048,-0.018302,0.000436
2009-06-04,TECL,TECL,0.75,0.0,0.25,0.030101,0.0,0.030101,1.3076,0.0,0.013964,0.040135,0.0
2009-06-05,TECL,TECL,0.75,0.0,0.25,0.014695,0.0,0.014695,1.3268,0.0,0.00991,0.019666,-0.000218
2009-06-08,TECL,TECL,0.75,0.0,0.25,-0.005256,0.0,-0.005256,1.3198,-0.0053,-0.006003,-0.00708,0.000218
2009-06-09,TECL,TECL,0.75,0.0,0.25,0.022813,0.0,0.022813,1.3499,0.0,0.004398,0.030489,-0.000218
2009-06-10,TECL,TECL,0.75,0.0,0.25,-0.002093,0.0,-0.002093,1.3471,-0.0021,0.002718,-0.002863,0.000218
2009-06-11,TECL,TECL,0.75,0.0,0.25,0.007913,0.0,0.007913,1.3578,0.0,0.00382,0.010768,-0.000654
2009-06-12,TECL,TECL,0.75,0.0,0.25,-0.002978,0.0,-0.002978,1.3537,-0.003,-0.002714,-0.004261,0.000872
2009-06-15,TECL,TECL,0.75,0.0,0.25,-0.034415,0.0,-0.034415,1.3071,-0.0373,-0.010338,-0.045887,0.0
2009-06-16,TECL,TECL,0.75,0.0,0.25,-0.024802,0.0,-0.024802,1.2747,-0.0612,-0.012643,-0.033142,0.000218
2009-06-17,TECL,TECL,0.75,0.0,0.25,0.017397,0.0,0.017397,1.2969,-0.0448,0.00557,0.023196,0.0
2009-06-18,TECL,TECL,0.75,0.0,0.25,-0.012523,0.0,-0.012523,1.2807,-0.0568,-0.004426,-0.016625,-0.000218
2009-06-19,TECL,TECL,0.75,0.0,0.25,0.029832,0.0,0.029832,1.3189,-0.0287,0.012344,0.039703,0.000218
2009-06-22,TECL,TECL,0.75,0.0,0.25,-0.063193,0.0,-0.063193,1.2355,-0.09,-0.024842,-0.084257,0.0
2009-06-23,TECL,TECL,0.75,0.0,0.25,-0.006053,0.0,-0.006053,1.228,-0.0955,0.000566,-0.008071,0.0
2009-06-24,TECL,TECL,0.75,0.0,0.25,0.035191,0.0,0.035191,1.2713,-0.0637,0.014138,0.046922,0.0
2009-06-25,TECL,TECL,0.75,0.0,0.25,0.041386,0.0,0.041386,1.3239,-0.025,0.014513,0.055181,0.0
2009-06-26,TECL,TECL,0.75,0.0,0.25,-0.001105,0.0,-0.001105,1.3224,-0.026,-0.001651,-0.001473,0.0
2009-06-29,TECL,TECL,0.75,0.0,0.25,0.013278,0.0,0.013278,1.34,-0.0131,0.010458,0.017703,0.0
2009-06-30,TECL,TECL,0.75,0.0,0.25,-0.009477,0.0,-0.009477,1.3273,-0.0225,-0.007622,-0.012563,-0.000218
2009-07-01,TECL,TECL,0.75,0.0,0.25,0.011017,0.0,0.011017,1.3419,-0.0117,0.004383,0.014681,2.5e-05
2009-07-02,TECL,TECL,0.75,0.0,0.25,-0.046787,0.0,-0.046787,1.2791,-0.0579,-0.025145,-0.062455,0.000218
2009-07-06,TECL,TECL,0.75,0.0,0.25,-0.016451,0.0,-0.016451,1.2581,-0.0734,-0.002807,-0.021862,-0.000218
2009-07-07,TECL,TECL,0.75,0.0,0.25,-0.055022,0.0,-0.055022,1.1888,-0.1244,-0.02474,-0.073363,0.0
2009-07-08,TECL,TECL,0.75,0.0,0.25,0.00346,0.0,0.00346,1.193,-0.1214,0.000563,0.00454,0.000218
2009-07-09,TECL,TECL,0.75,0.0,0.25,0.010751,0.0,0.010751,1.2058,-0.1119,0.006346,0.014407,-0.000218
2009-07-10,TECL,TECL,0.75,0.0,0.25,0.010443,0.0,0.010443,1.2184,-0.1027,0.004013,0.013924,0.0
