kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max_v,v_xlk,v_tecl,use_credit,rsi_n,rsi_max,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,signal
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,,10,,,0.8,1.0,0.26483666891770286,-0.4035314125159206,0.9529836039107995,0.6562975290238506,0.1547218029291504,-0.47632669028771435,0.5015737946856752,0.3248228706976176,0.22553595864475784,-0.4763266902877138,0.7553779836071897,0.4734900715064449,11.058131644424337,0.32176023636256346,0.2117168061524542,0.6075548518434744,0.18072834200407148,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,,10,,,0.85,1.0,0.2800702382214091,-0.4168477499915696,0.9570720107204961,0.6718765741858347,0.1578764203682994,-0.4974405822771918,0.5028391052190964,0.3173774436447668,0.23620354965135615,-0.4974405822771921,0.7585778420512871,0.47483771543137765,11.058131644424337,0.3398432441546596,0.2117168061524542,0.6075548518434744,0.18072834200407148,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,,10,,,1.0,1.0,0.3245179010890038,-0.4655514577811035,0.9659457768379971,0.6970612929357168,0.16383952271753688,-0.5568108976448911,0.5051432133461102,0.29424625741076343,0.26590527194251057,-0.5568108976448907,0.7653635925415022,0.47755040906561635,11.058131644424337,0.39463344171310405,0.2117168061524542,0.6075548518434744,0.18072834200407148,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,,10,30.0,,0.8,1.0,0.20162020352896137,-0.4325071145653274,0.8020607169959391,0.46616621262193814,0.13404561732402587,-0.47632669028771346,0.4560412060032684,0.28141529764594736,0.178828359905554,-0.47632669028771457,0.6491280001977398,0.37543216357986725,12.882153358968559,0.3077889289048236,0.23908617959737616,0.592852295860665,0.16806152454195883,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,,10,30.0,,0.85,1.0,0.21363924094380216,-0.4464015155035922,0.8085345097069757,0.47858090423997,0.13693539131784438,-0.4974405822771919,0.45867528758836773,0.27527989512029605,0.1875056317024255,-0.4974405822771919,0.6540496028428935,0.37694076113384045,12.882153358968559,0.32532025454843017,0.23908617959737616,0.592852295860665,0.16806152454195883,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,,10,30.0,,1.0,1.0,0.2484073335727306,-0.4864360826545788,0.8234372283831176,0.5106679837916673,0.14231883225964692,-0.5568108976448909,0.4644952127511336,0.2555963485298226,0.21137524224866233,-0.5568108976448907,0.6652651256161185,0.3796176460315403,12.882153358968559,0.3783737241068702,0.23908617959737616,0.592852295860665,0.16806152454195883,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,-0.06,10,,,0.8,1.0,0.22349060715317304,-0.3899013465265003,0.8495259919015365,0.5731978336165687,0.14713425370024447,-0.4480171416874801,0.4863796856556712,0.32841210750565386,0.19734278137612704,-0.4480171416874814,0.6911941356489603,0.4404804258891178,13.39515946618412,0.3148093321276115,0.2282289074869939,0.6055191133227776,0.16625197919022847,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,-0.06,10,,,0.85,1.0,0.23664338682464647,-0.40352197925313105,0.8553227968229627,0.5864448505695872,0.14934902316272414,-0.47027244138350166,0.4859263412825528,0.3175797899688784,0.20643747085412856,-0.47027244138350077,0.6943074826288456,0.43897420449900787,13.39515946618412,0.3328710902880141,0.2282289074869939,0.6055191133227776,0.16625197919022847,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,-0.06,10,,,1.0,1.0,0.2747602348220004,-0.4456524364940193,0.8685197312177301,0.6165347977979421,0.15251471575045206,-0.5328522898649581,0.4842444783322416,0.2862232529564698,0.23140735444844185,-0.5328522898649581,0.7011102272188245,0.43428049170453575,13.39515946618412,0.3874943388292724,0.2282289074869939,0.6055191133227776,0.16625197919022847,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,-0.06,10,30.0,,0.8,1.0,0.17575731835920538,-0.4335142349914832,0.7260179998116988,0.4054245608858918,0.1302400670984687,-0.4480171416874812,0.44770642256727516,0.29070331239539704,0.16141752171366908,-0.44801714168748086,0.603861774139055,0.36029318232262547,14.70617507351278,0.3046139620117138,0.2515268038905225,0.5914951368468673,0.15697805926261027,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,-0.06,10,30.0,,0.85,1.0,0.18676486814970938,-0.4473839777615959,0.734428947477903,0.41745989448293014,0.1322147265304885,-0.47027244138350066,0.44848219845237725,0.28114495959304836,0.16915272578142737,-0.4702724413835013,0.6089452962799825,0.35969091721342317,14.70617507351278,0.32216741706302804,0.2515268038905225,0.5914951368468673,0.15697805926261027,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,,-0.06,10,30.0,,1.0,1.0,0.21846619814662915,-0.48734749621511975,0.7541664752692948,0.44827602448622433,0.13486448999679235,-0.532852289864958,0.4498498338184748,0.25309920321628226,0.19018559276049984,-0.5328522898649588,0.62067011187271,0.35691991266228534,14.70617507351278,0.3752314307988829,0.2515268038905225,0.5914951368468673,0.15697805926261027,XLK
