kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.16677804704933918,-0.3695219167896151,0.7906351690663249,0.4513346555957956,0.23320673921470325,-0.21283704426509586,0.9531693135905442,1.095705590255408,0.19468665098565352,-0.3695219167896151,0.8629365482300785,0.5268609036158932,16.644198145216013,0.21981744439727358,0.39334992083239084,0.3440398099977381,0.26261026916987107
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.18398763650181094,-0.4058757051044344,0.7867645466830502,0.45331029718684385,0.26597573252446627,-0.22495032276803173,0.9623898571580277,1.1823754207222892,0.2177585727416167,-0.4058757051044344,0.8640778519409081,0.5365154159340136,14.535173037774259,0.24997516665384745,0.32390861795973763,0.4134811128703913,0.26261026916987107
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.1967568488007021,-0.4205638143740883,0.7849418288853381,0.46784065123037044,0.292582655254062,-0.23947148474098434,0.9618272685959718,1.2217849468404285,0.2355402638287798,-0.4205638143740883,0.863000240415042,0.5600583211832593,13.794164216240668,0.274739835427657,0.28726532458719745,0.4501244062429315,0.26261026916987107
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.2109300896431363,-0.42694155298843595,0.8000544803759724,0.4940490991488231,0.3091144757419144,-0.2800761368114669,0.9465048146510319,1.1036801609056563,0.250610040755618,-0.42694155298843595,0.8667547574233266,0.5869891065918477,12.654150644650532,0.2939322652578708,0.27369373444921963,0.4636959963809093,0.26261026916987107
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,voltarget,0.5,1.0,0.0,1.0,1.0,0.23604538550602627,-0.44447034788576256,0.8411160285881151,0.5310711651043468,0.32998335636288134,-0.3555544953727251,0.9168973971505644,0.9280809570891863,0.2743008644753939,-0.44447034788576256,0.8791651471785581,0.6171409764007352,12.369147251752997,0.3205541706364651,0.2689436779009274,0.46844605292920155,0.26261026916987107
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,voltarget,0.6,1.0,0.0,1.0,1.0,0.25134106764478026,-0.4420638951516953,0.8677912525703304,0.5685627584639816,0.3408846459920398,-0.41563287149786843,0.9017329179733925,0.8201580514157867,0.28807666567696044,-0.4420638951516953,0.8871266779615518,0.6516629583108257,12.31214657317349,0.33524937342710415,0.2666817462112644,0.4707079846188645,0.26261026916987107
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.16146658971758088,-0.3517160733480983,0.7648441679129189,0.45908220281356077,0.22862983426867278,-0.23934766057259182,0.928362648385687,0.955220676574491,0.18962365065873765,-0.3517160733480983,0.8374876436950411,0.5391384273503602,16.87220085953404,0.22199385895908172,0.3716353766116263,0.3440398099977381,0.2843248133906356
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.17852571839121545,-0.3843317210953714,0.7642929856623447,0.4645094552237455,0.26095101516337804,-0.2526525088933729,0.9396182298299928,1.0328455328084922,0.21243407758029842,-0.3843317210953714,0.8415256288661291,0.5527362586019362,14.70617507351278,0.252093269232639,0.3019678805700068,0.4137073060393576,0.2843248133906356
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.1912573452198334,-0.3995229311695738,0.7647301119197341,0.4787143122422076,0.28666254235277977,-0.2571152781668997,0.9398886745098339,1.114918352563632,0.2298695932719208,-0.3995229311695738,0.842148879686607,0.5753601992230949,13.908165573399684,0.2767235226164427,0.26509839402850033,0.4505767925808641,0.2843248133906356
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.20541924586472016,-0.41134488044524065,0.7811922325746121,0.49938447183874973,0.3028319471750065,-0.2825538432303376,0.926256314335512,1.071767220409521,0.24480257322180443,-0.41134488044524065,0.8473505427602936,0.5951273125286731,12.768152001809545,0.2958220210281403,0.2515268038905225,0.4641483827188419,0.2843248133906356
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,voltarget,0.5,1.0,0.0,1.0,1.0,0.2305299139508481,-0.42991601171468896,0.8235574486705923,0.5362208144595411,0.3233353701421062,-0.3555544953727251,0.899400191163394,0.9093834400916692,0.2683590952841557,-0.42991601171468896,0.8616367627771475,0.6242128415125197,12.48314860891201,0.3222940362835063,0.24677674734223026,0.46889843926713415,0.2843248133906356
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,voltarget,0.6,1.0,0.0,1.0,1.0,0.2457791701406815,-0.4274465122612662,0.8506783934148782,0.5749939772358115,0.3341302910695747,-0.4156328714978679,0.8856879606008484,0.803907279675517,0.2820660870573295,-0.4274465122612662,0.870505204590757,0.6598862757474636,12.426147930332503,0.33691438448129835,0.2445148156525673,0.4711603709567971,0.2843248133906356
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.16797755193949526,-0.3553662768191891,0.7838528700556212,0.47268849887228465,0.20104223151056577,-0.24371798912718468,0.803808259000194,0.8248969730570505,0.18370084996237246,-0.3553662768191891,0.8035336129607229,0.5169338284055572,15.732187287943903,0.22638930476634914,0.3453969690115358,0.34426600316670436,0.31033702782175976
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.18561600173394632,-0.39223830805331905,0.7823701242286721,0.47322252294825456,0.22917130725561785,-0.29594104419255984,0.8183342614998205,0.7743816268570812,0.20543604304628071,-0.39223830805331905,0.8073893373074109,0.5237531338177063,13.566161501922641,0.25719415174330107,0.27550327980095,0.4139334992083239,0.3105632209907261
