kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,er_n,er_min,er_cash,rsi_n,rsi_max,macd_pos,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,,False,fixed,,1.0,0.0,0.85,1.0,0.2853875464712572,-0.3101313941521374,0.9970125828459794,0.9202149535730589,0.3721435481338986,-0.27580103521891386,0.9926453683681263,1.349318895190201,0.3206488071943583,-0.3101313941521374,0.9981993795300241,1.0339127648491513,8.09409635828998,0.3166407099688601,0.27437231395611855,0.5344944582673603,0.19113322777652114
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,,False,fixed,,1.0,0.0,1.0,1.0,0.3264286683765949,-0.3648787136215276,0.9926601983119125,0.8946223942106549,0.4145471913534948,-0.3219772104790779,0.9833903115309884,1.2875047607769499,0.36292322923005216,-0.3648787136215276,0.9921926471994715,0.9946407276761456,8.09409635828998,0.36838664881976957,0.27437231395611855,0.5344944582673603,0.19113322777652114
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,,True,fixed,,1.0,0.0,0.85,1.0,0.18259668223637693,-0.2913824046958503,0.8643587271014578,0.6266565149222868,0.30296299101912383,-0.27580103521891386,0.9906987894096374,1.0984838790711953,0.229485775091834,-0.2913824046958503,0.9223082952167859,0.7875759530894633,12.255145894593984,0.24258968225956276,0.27437231395611855,0.2834200407147704,0.44220764532911105
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,,True,fixed,,1.0,0.0,1.0,1.0,0.19717446606785183,-0.3406506406204617,0.8388871857452125,0.5788172472205481,0.3287382411566895,-0.31639288334518023,0.9736396967948223,1.0390190755271844,0.24862342161555762,-0.3406506406204617,0.9011510169560112,0.7298486835742168,12.255145894593984,0.2748355276887599,0.27437231395611855,0.2834200407147704,0.44220764532911105
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,75.0,False,fixed,,1.0,0.0,0.85,1.0,0.28610280099615615,-0.3110780502124736,1.0133743536766753,0.9197138814543206,0.40354086367505126,-0.27351063400154874,1.0852752826986496,1.4754119712682405,0.3323316368676552,-0.3110780502124736,1.0474061710697897,1.0683223603872563,8.892105858403076,0.30732448427269543,0.27437231395611855,0.5084822438362362,0.21714544220764534
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,75.0,False,fixed,,1.0,0.0,1.0,1.0,0.32805213691309887,-0.3660230995238736,1.0105435344877096,0.8962607478594447,0.45767367982648666,-0.3219772104790781,1.0849982012548922,1.4214474345730939,0.3793697247178791,-0.3660230995238736,1.04596964277106,1.0364638876927903,8.892105858403076,0.3567486059915418,0.27437231395611855,0.5084822438362362,0.21714544220764534
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,75.0,True,fixed,,1.0,0.0,0.85,1.0,0.180920362138822,-0.2913824046958504,0.8802284982538732,0.6209035247947438,0.32956571138726076,-0.2274885458232676,1.1349129257222978,1.4487134294809523,0.2377124771187722,-0.2913824046958504,0.9935860912536364,0.8158093051874572,11.457136394480885,0.22845561881033996,0.27437231395611855,0.24836009952499435,0.4772675865188871
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,75.0,True,fixed,,1.0,0.0,1.0,1.0,0.1948966349880199,-0.34065064062046224,0.854277206642363,0.5721305400542752,0.36472300391187473,-0.2390820697331545,1.137503232509519,1.5255138301209759,0.2596582356150632,-0.34065064062046224,0.9798818590430136,0.7622420293768443,11.457136394480885,0.2566333575894791,0.27437231395611855,0.24836009952499435,0.4772675865188871
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,85.0,False,fixed,,1.0,0.0,0.85,1.0,0.2853875464712572,-0.3101313941521374,0.9970125828459794,0.9202149535730589,0.3721435481338986,-0.27580103521891386,0.9926453683681263,1.349318895190201,0.3206488071943583,-0.3101313941521374,0.9981993795300241,1.0339127648491513,8.09409635828998,0.3166407099688601,0.27437231395611855,0.5344944582673603,0.19113322777652114
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,,14,85.0,False,fixed,,1.0,0.0,1.0,1.0,0.3264286683765949,-0.3648787136215276,0.9926601983119125,0.8946223942106549,0.4145471913534948,-0.3219772104790779,0.9833903115309884,1.2875047607769499,0.36292322923005216,-0.3648787136215276,0.9921926471994715,0.9946407276761456,8.09409635828998,0.36838664881976957,0.27437231395611855,0.5344944582673603,0.19113322777652114
