path,CAGR,maxDD,Sharpe,vol,criterion
1,0.317885401424588,-0.3658014770558554,1.0747566523597003,0.28257905920719323,sharpe
2,0.33580113109348075,-0.36580147705585564,1.121953842801104,0.28271793229164943,sharpe
3,0.3589680219503646,-0.365801477055855,1.145107183304912,0.2952063355287469,sharpe
4,0.3624604131990363,-0.36580147705585575,1.1435667882944278,0.2987786899654821,sharpe
5,0.35203518546135504,-0.36580147705585575,1.1325110414419846,0.2935364720571327,sharpe
6,0.33967926641281654,-0.365801477055855,1.1002259100432887,0.29390519066827864,sharpe
7,0.32331415046209133,-0.3218146391101263,1.0970994449095426,0.27980303458914585,sharpe
8,0.2791492432292457,-0.3218146391101274,0.9876919411170836,0.2751534255954804,sharpe
9,0.3237439531993689,-0.3658014770558554,1.0992848537408555,0.27947826203055526,sharpe
10,0.31871924367874493,-0.36580147705585586,1.0502864565997303,0.2925187554110348,sharpe
11,0.3457742987692336,-0.3658014770558554,1.132394223027498,0.28804225383077164,sharpe
1,0.2777296115257537,-0.24497710932321504,1.0077026452441094,0.2662278209673473,calmar
2,0.26144604546342265,-0.2428193619469936,0.9630886936190203,0.2648336135021873,calmar
3,0.31757381030442855,-0.27377070078889465,1.1203878842047381,0.2669561001105126,calmar
4,0.3069286583443862,-0.3024913355826713,1.085609820442816,0.26839248734227766,calmar
5,0.3012471602996052,-0.2737707007888944,1.0491765778662427,0.27545063458614666,calmar
6,0.2896623720161311,-0.3218146391101274,1.0354442716653602,0.2686660054314992,calmar
7,0.29545528186007486,-0.23540952858828956,1.0547502538011877,0.2677807387681859,calmar
8,0.2967736138183521,-0.32181463911012653,1.0592158979429689,0.2675273138090595,calmar
9,0.28933088601401713,-0.3218146391101271,1.0423388197046919,0.2659351514756281,calmar
10,0.3229589608580392,-0.3658014770558553,1.0839389740866654,0.28408356069450136,calmar
11,0.3052194690532335,-0.3144139809451493,1.067502284209803,0.27293884890905246,calmar
