kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_XLK,pct_TECL
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,fixed,,1.0,0.0,0.4,1.0,0.135147964435973,-0.21695964902149523,0.9033706419045509,0.6229175104472225,0.21087939883816764,-0.2215505352998447,0.9454135289926319,0.951834300706,0.16436872814961712,-0.2215505352998446,0.9209901185681144,0.7419017423142846,11.74213978737842,0.16675300835413143,0.7373897308301289,0.26261026916987107,
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,fixed,,1.0,0.0,0.5,1.0,0.15850178041081486,-0.24986030481496924,0.9084746460275337,0.6343615906824066,0.23442272354846372,-0.22155053529984292,0.9367314605363251,1.0581004610582403,0.1881976188846204,-0.24986030481496924,0.9218136152665003,0.7532113555371978,12.31214657317349,0.19394713677203326,0.2666817462112644,0.26261026916987107,0.4707079846188645
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,fixed,,1.0,0.0,0.6,1.0,0.1812090827361077,-0.29128975029306303,0.9065920442189037,0.6220922039096655,0.2567148094834395,-0.25975517857116737,0.922710187510064,0.9882952513037392,0.21117284650543366,-0.29128975029306303,0.9158788936289702,0.7249580402090195,12.31214657317349,0.22272349836127742,0.2666817462112644,0.26261026916987107,0.4707079846188645
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,fixed,,1.0,0.0,0.7,1.0,0.20321034569046148,-0.3312272911230115,0.9020071985622203,0.6135072535885728,0.2776643208516476,-0.3089671644959999,0.9074150723230981,0.8986855328286589,0.23322182782082024,-0.3312272911230115,0.9075412250960178,0.7041141659254342,12.31214657317349,0.2525417992646,0.2666817462112644,0.26261026916987107,0.4707079846188645
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,fixed,,1.0,0.0,0.85,1.0,0.23475925234546624,-0.3883268036420051,0.893777221574782,0.6045404286897709,0.30637856800845675,-0.3773452075290147,0.8855423884001464,0.8119317852603145,0.26440239076045446,-0.3883268036420051,0.8943538343683648,0.6808759742585386,12.31214657317349,0.29853772976545406,0.2666817462112644,0.26261026916987107,0.4707079846188645
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.9,,10,,,fixed,,1.0,0.0,1.0,1.0,0.2643900216034907,-0.4420638951516953,0.8857647151876136,0.5980810115984808,0.33158966194949024,-0.4396463434897748,0.8663688487025197,0.7542190828142353,0.29310260641849006,-0.4420638951516953,0.8821760358401916,0.6630322214346666,12.31214657317349,0.345514405048682,0.2666817462112644,0.26261026916987107,0.4707079846188645
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,fixed,,1.0,0.0,0.4,1.0,0.12978815997381288,-0.2408346237530261,0.85612886723539,0.5389098874209614,0.20494563920539943,-0.25407146968284267,0.9071240519752594,0.8066456240097836,0.1587931534850744,-0.2540714696828432,0.8780952599626596,0.6249940368483541,11.970142501696449,0.17005956186562454,0.7156751866093644,0.2843248133906356,
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,fixed,,1.0,0.0,0.5,1.0,0.15308521245999684,-0.25667078215457195,0.8707081386751132,0.5964263293817605,0.22834426248893536,-0.25407146968284233,0.9051442674503556,0.8987402748288807,0.18253173840761883,-0.25667078215457195,0.8869670476038192,0.7111512143119383,12.426147930332503,0.19679963088081764,0.2445148156525673,0.2843248133906356,0.4711603709567971
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,fixed,,1.0,0.0,0.6,1.0,0.1757408870628252,-0.2868971107493432,0.8757221452693392,0.6125571868040415,0.25049670925450296,-0.25975517857116703,0.8962801562057593,0.9643569403790444,0.20542165414394686,-0.2868971107493432,0.8870694823848196,0.7160115820177082,12.426147930332503,0.22521387607485135,0.2445148156525673,0.2843248133906356,0.4711603709567971
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,fixed,,1.0,0.0,0.7,1.0,0.19769584050741806,-0.32396814843631727,0.8762219594835919,0.6102323375357356,0.27131218648779676,-0.30896716449600037,0.8849186515721912,0.878126278986222,0.22739060864277083,-0.32396814843631727,0.8832657259338963,0.7018918672724681,12.426147930332503,0.2547426944338649,0.2445148156525673,0.2843248133906356,0.4711603709567971
