kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_n,crash_mom_thr,crash_below_n,crash_vol_min,crash_dd_n,crash_dd,crash_vix_min,crash_slope_n,crash_confirm,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_TECS,pct_XLK
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,25.0,100.0,3,0.2540461186767389,-0.46954652838046995,0.7761367737113283,0.541045675607439,0.16306102697946478,-0.6315077955476984,0.5103412731746884,0.25820904845369974,0.22299919051351869,-0.6315077955476986,0.6668211823273673,0.35312183331025127,10.317122822890749,0.41777660783649906,0.2345623162180502,0.5363040036190907,0.017869260348337482,0.2112644198145216
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,25.0,100.0,5,0.28988173767226444,-0.34671170795407735,0.8726281935643324,0.8360886898883145,0.3926153390634297,-0.3624371879111824,0.9262077299161364,1.0832644997776626,0.3314868854062647,-0.3624371879111813,0.8996326300174415,0.9146050583735871,9.519113322777653,0.38939850566130046,0.24112191811807285,0.5363040036190907,0.011083465279348564,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,35.0,,1,0.17546889273248834,-0.5515694226177943,0.607100233673038,0.31812657761138824,0.09079516470665383,-0.5874900890876512,0.3968709440870332,0.15454756836435338,0.1466072527512028,-0.5874900890876507,0.5088219583037854,0.24954846979440654,10.83012893010631,0.45097655892675115,0.2370504410766795,0.5360778104501244,0.016512101334539696,0.2103596471386564
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,35.0,,3,0.25620276733711145,-0.5062091474633907,0.8009968899890687,0.5061203824959329,0.16034571268331055,-0.5494788023810747,0.5086811996034586,0.2918141919005413,0.22324612090093043,-0.5494788023810746,0.6609544765575781,0.40628704862413373,9.17710925130061,0.4318652020801919,0.244288622483601,0.5363040036190907,0.008595340420719294,0.210812033476589
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,35.0,,5,0.29999339004058156,-0.369509032876128,0.9120534411278143,0.8118702476784906,0.2861743755771673,-0.49235901022240647,0.707037728570647,0.5812311131422125,0.29882008458977305,-0.4923590102224067,0.8142890725208184,0.6069150322948108,8.949106536982583,0.41127961686604814,0.24655055417326396,0.5363040036190907,0.005881022393123728,0.2112644198145216
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,35.0,100.0,1,0.22927452247551483,-0.49082769244128066,0.7273694388536165,0.4671181475828072,0.20075507248869418,-0.5710732572239875,0.5830400644113707,0.35153996435513984,0.22230734358863913,-0.5710732572239877,0.6717082894731812,0.3892799054700704,9.74711603709568,0.4084650248615046,0.2424790771318706,0.5363040036190907,0.00972630626555078,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,35.0,100.0,3,0.25620276733711145,-0.5062091474633907,0.8009968899890687,0.5061203824959329,0.295405644309628,-0.5494788023810739,0.7569338172953812,0.5376106285256818,0.27465605088424283,-0.5494788023810742,0.7863567625582133,0.4998483102424824,8.949106536982583,0.3948811401682787,0.24722913368016286,0.5363040036190907,0.0049762497172585385,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,,35.0,100.0,5,0.29999339004058156,-0.369509032876128,0.9120534411278143,0.8118702476784906,0.39916704765106203,-0.32197721047907757,0.9541386526424096,1.2397369585789375,0.34036263928555766,-0.369509032876128,0.9343784842457377,0.9211212961055238,8.721103822664555,0.37688797504459715,0.24903867903189322,0.5363040036190907,0.003166704365528161,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,,,1,0.10966949762498879,-0.6249191120129585,0.45339351632857094,0.1754939087584101,-0.17690226055485536,-0.8173538841096007,-0.01561236353147944,-0.21643288665296678,-0.004533631079530087,-0.8173538841096011,0.22451324158267907,-0.0055467174839070816,17.61320968106763,0.5009261151176461,0.19656186383171229,0.5360778104501244,0.06333408731056323,0.2040262384076001
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,,,3,0.2049201786581143,-0.4786745995166418,0.6760189257997257,0.42809912801940925,-0.09102418784784538,-0.783020333308226,0.09414321247402854,-0.11624754042244631,0.08776289411482541,-0.7830203333082264,0.3939596318951743,0.1120825224857585,12.084143858855462,0.46361305265310454,0.2207645329111061,0.5363040036190907,0.03392897534494458,0.20900248812485864
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,,,5,0.28129363585807443,-0.3484210901816289,0.8609545762665904,0.8073381427956571,0.0980260464810514,-0.6493956907949088,0.39567410100548356,0.15094964113645443,0.21318574043293292,-0.6493956907949086,0.6386267947511727,0.32828326928375173,10.545125537208776,0.4306422669134854,0.23275277086631985,0.5363040036190907,0.019904998869034154,0.2110382266455553
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,,100.0,1,0.19658475300349676,-0.5467097620356329,0.647991140371605,0.3595779088917822,0.09289233458605217,-0.6984424594142715,0.39189861847948343,0.1329992662014758,0.1602933670788309,-0.698442459414271,0.535552843641183,0.2295011778253808,13.737163537661162,0.44381766272932305,0.21578828319384755,0.5363040036190907,0.03732187287943904,0.2105858403076227
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,,100.0,3,0.248100441562759,-0.4786745995166417,0.7736591111966922,0.5183070959129376,0.16774432682094842,-0.6042868886966049,0.5179626334246911,0.27759054508489933,0.22119905777902216,-0.6042868886966049,0.664234146948492,0.36604973881880776,10.65912689436779,0.41617375236801096,0.23230038452838725,0.5363040036190907,0.020131192038000453,0.2112644198145216
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,,100.0,5,0.28129363585807443,-0.3484210901816289,0.8609545762665904,0.8073381427956571,0.3818884794953188,-0.3920920544306866,0.8993847967995175,0.973976583253687,0.32210155071007196,-0.39209205443068584,0.8808364810363002,0.8214947155146016,9.74711603709568,0.3900116323118522,0.24021714544220765,0.5363040036190907,0.011988237955213752,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,25.0,,1,0.14920563966042333,-0.6093050171402439,0.5432706792599072,0.24487840320225138,-0.06058529427748083,-0.7798630019618249,0.17272034067889575,-0.07768709904825892,0.06907912332458088,-0.7798630019618256,0.3625600562622824,0.08857853642345546,14.934177787830807,0.4859107524192386,0.210812033476589,0.5360778104501244,0.045917213300158334,0.20719294277312825
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,25.0,,3,0.21610550964364683,-0.4786745995166418,0.7032103181317723,0.4514664238751478,-0.02943788923876456,-0.7205994525718487,0.19577456066779514,-0.04085194504894438,0.12122302927915762,-0.7205994525718484,0.45910825012804285,0.1682252586322509,11.229133680162859,0.454379749242806,0.2293598733318254,0.5363040036190907,0.0244288622483601,0.2099072608007238
