signal_date,entry_date,exit_date,asset,weight,days,ret_gross,cost,ret_net,equity_in,equity_out,underlying_ret,max_adverse
2017-07-18,2017-07-19,2017-08-01,XLK,1.0,10,0.0056,0.001,0.0046,7.6402,7.6754,0.0056,-0.0097
2017-08-01,2017-08-02,2017-11-02,TECL,0.75,66,0.2258,0.001,0.22458,7.6754,9.3992,0.30629,-0.0473
2017-11-02,2017-11-03,2017-11-15,XLK,1.0,9,-0.00175,0.001,-0.00274,9.3992,9.3734,-0.00175,-0.0177
2017-11-15,2017-11-16,2017-12-06,TECL,0.75,14,-0.00272,0.001,-0.00368,9.3734,9.3389,-0.00524,-0.0765
2017-12-06,2017-12-07,2017-12-08,BIL,1.0,2,0.00022,0.00075,-0.00053,9.3389,9.334,0.00022,0.0
2017-12-08,2017-12-11,2017-12-11,XLK,1.0,1,0.00865,0.001,0.00765,9.334,9.4054,0.00865,0.0
2017-12-11,2017-12-12,2017-12-14,BIL,1.0,3,0.00011,0.001,-0.00089,9.4054,9.397,0.00011,-0.0001
2017-12-14,2017-12-15,2018-01-04,XLK,1.0,13,0.02785,0.001,0.02684,9.397,9.6491,0.02785,-0.0181
2018-01-04,2018-01-05,2018-02-02,TECL,0.75,20,0.02364,0.001,0.02264,9.6491,9.8676,0.02895,-0.0875
2018-02-02,2018-02-05,2018-04-25,BIL,1.0,56,0.003,0.00075,0.00225,9.8676,9.8898,0.003,-0.0002
2018-04-25,2018-04-26,2018-04-26,XLK,1.0,1,0.0182,0.001,0.0172,9.8898,10.0599,0.0182,0.0
2018-04-26,2018-04-27,2018-05-17,BIL,1.0,15,0.00084,0.001,-0.00016,10.0599,10.0584,0.00084,-0.0001
2018-05-17,2018-05-18,2018-10-16,TECL,0.75,105,0.06772,0.00075,0.06691,10.0584,10.7314,0.07542,-0.206
2018-10-16,2018-10-17,2019-02-08,BIL,1.0,78,0.00687,0.00075,0.00612,10.7314,10.7971,0.00687,-0.0001
2019-02-08,2019-02-11,2019-03-07,XLK,1.0,18,0.02692,0.001,0.02589,10.7971,11.0766,0.02692,-0.0213
2019-03-07,2019-03-08,2019-04-24,TECL,0.75,33,0.3139,0.001,0.31258,11.0766,14.539,0.43332,-0.0629
2019-04-24,2019-04-25,2019-05-07,XLK,1.0,9,-0.02954,0.001,-0.03051,14.539,14.0954,-0.02954,-0.0293
2019-05-07,2019-05-08,2019-05-23,TECL,0.75,12,-0.09904,0.001,-0.09994,14.0954,12.6866,-0.13312,-0.0964
2019-05-23,2019-05-24,2019-06-13,XLK,1.0,14,0.04763,0.001,0.04658,12.6866,13.2776,0.04763,-0.0364
2019-06-13,2019-06-14,2019-08-13,TECL,0.75,42,0.06879,0.001,0.06769,13.2776,14.1764,0.08366,-0.1845
