kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,confirm,crash_mom_n,crash_mom_thr,crash_vol_min,crash_dd_n,crash_dd,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK
hier,100,0.0,20,0.93,10,0.0,20,0.5,1,20,-99.0,,60,,0.1677964349747081,-0.4270283929925821,0.7494772781239418,0.39293976168376904,0.23377774410051022,-0.38675795952548087,0.6997251017763635,0.6044549009084018,0.19573574499231872,-0.4270283929925821,0.7241437052201404,0.45836705053876553,31.350373218728794,0.2867546873694549,0.22393123727663425,0.3449445826736033,0.4311241800497625
hier,100,0.0,20,0.93,10,0.0,20,0.5,3,20,-99.0,,60,,0.24517130321637737,-0.322306076162734,0.9771788862800644,0.7606785020478147,0.3129738282656771,-0.32653988587878713,0.8713129695828955,0.9584551284551321,0.2740370031532584,-0.32653988587878713,0.9262375492641685,0.8392144880426093,12.084143858855462,0.29537863527467834,0.2187287943904094,0.3453969690115358,0.43587423659805474
hier,100,0.0,20,0.93,10,0.0,20,0.5,5,20,-99.0,,60,,0.22047133922975926,-0.4106235677796237,0.8643361252700899,0.5369183761709541,0.27004180939804434,-0.3556635494434244,0.7732001365125873,0.759261976158735,0.2426123037964647,-0.4106235677796237,0.8251343890695129,0.5908387214799895,8.550101786926035,0.30492802837090194,0.2284551006559602,0.3435874236598055,0.4279574756842343
hier,100,0.0,20,0.93,10,0.0,20,0.7,1,20,-99.0,,60,,0.17760854819043348,-0.4483144177061006,0.7169576708237291,0.39616961038015847,0.23259887702779913,-0.5593507473439849,0.6632330163352258,0.41583725083459555,0.2015867151938473,-0.5593507473439846,0.6912303353737115,0.3603941107633441,34.029405111965616,0.3242825375078265,0.22393123727663425,0.452838724270527,0.3232300384528387
hier,100,0.0,20,0.93,10,0.0,20,0.7,3,20,-99.0,,60,,0.2841260492890525,-0.33811987945320765,0.9923833753691415,0.8403115775047845,0.3536389801254898,-0.4723768613876097,0.8816057845030976,0.7486373889836037,0.31374575634066426,-0.4723768613876105,0.9372568283194329,0.6641852766010465,13.452160144763628,0.3401417702905649,0.2187287943904094,0.4636959963809093,0.3175752092286813
hier,100,0.0,20,0.93,10,0.0,20,0.7,5,20,-99.0,,60,,0.27919037939425984,-0.39355909086999374,0.9489513054571911,0.7093988828388825,0.382593979170589,-0.4658056180292418,0.90259607461374,0.8213597353962592,0.3209944105339009,-0.4658056180292417,0.9214746779835814,0.6891166574846891,9.462112644198145,0.35934528420287043,0.2270979416421624,0.47591042750508933,0.29699163085274827
hier,100,0.0,20,0.93,10,0.0,20,0.9,1,20,-99.0,,60,,0.1485699708035404,-0.5287658537148676,0.5881404500777249,0.2809749717379736,0.28246848825006254,-0.49017570296550417,0.729251986900036,0.5762596688109225,0.20062210616150855,-0.5287658537148676,0.6516809917235478,0.3794157749635858,36.53743496946392,0.36377941861333624,0.22393123727663425,0.5286134358742366,0.24745532684912916
hier,100,0.0,20,0.93,10,0.0,20,0.9,3,20,-99.0,,60,,0.2698511513278248,-0.46751838968839854,0.8788083899235991,0.5771990092361519,0.44806718604391027,-0.462442304350682,0.9880062835404684,0.9689147853223421,0.33789368177274426,-0.46751838968839854,0.9244002045266629,0.7227388039173192,13.338158787604614,0.38051121777496094,0.221443112418005,0.5439945713639448,0.2345623162180502
hier,100,0.0,20,0.93,10,0.0,20,0.9,5,20,-99.0,,60,,0.2262526892133161,-0.5970365380980022,0.7519574562777562,0.3789595355991047,0.2857593524993183,-0.6866302338960146,0.6977039963109861,0.4161764780992655,0.2520391021450463,-0.6866302338960146,0.7184804470927186,0.3670667117510236,8.949106536982583,0.4219812843636488,0.2264193621352635,0.567744854105406,0.20583578375933048
hier,100,0.0,20,0.93,10,0.0,20,,1,20,-99.0,,60,,0.1627128847545265,-0.49815447259053725,0.6222140277612215,0.32663138385243384,0.20969681210477908,-0.6300357177586473,0.5903774293561991,0.3328332127752625,0.18371799961012147,-0.6300357177586473,0.6061721939414094,0.2915993402147079,36.99344039809998,0.37405248631691873,0.22393123727663425,0.5557566161501922,0.2203121465731735
hier,100,0.0,20,0.93,10,0.0,20,,3,20,-99.0,,60,,0.2675250027013265,-0.46751838968839854,0.8644515508918562,0.5722234859673268,0.39953623742173794,-0.5507150651399352,0.8961971157434389,0.7254863044652989,0.3194339710569267,-0.5507150651399346,0.8742530649787125,0.5800349241867203,13.281158109025107,0.39114308963912614,0.22189549875593756,0.5713639448088668,0.20674055643519565
hier,100,0.0,20,0.93,10,0.0,20,,5,20,-99.0,,60,,0.21894118026406217,-0.5970365380980022,0.7226507826592603,0.3667132014424944,0.29092647501454905,-0.6866302338960146,0.7015104049711335,0.4237018130760141,0.24923178002613544,-0.6866302338960146,0.7056077982700106,0.36297816164017016,8.721103822664555,0.43366137519744746,0.2261931689662972,0.6007690567744854,0.17303777425921738
hier,100,0.0,20,0.93,20,0.0,20,0.5,1,20,-99.0,,60,,0.21023723837101516,-0.36280059326572367,0.8277910452148382,0.5794842739329052,0.13468170302454774,-0.4754306355941863,0.4544308952352537,0.28328360215202475,0.18507525192937901,-0.4754306355941862,0.6578330599908611,0.38927918832591574,26.10631078941416,0.3155935009397926,0.22393123727663425,0.40194526125311014,0.3741235014702556
hier,100,0.0,20,0.93,20,0.0,20,0.5,3,20,-99.0,,60,,0.285537229510469,-0.33640290998398104,0.9779637426416882,0.8487953612650552,0.29263264821598955,-0.4441848526227584,0.7837405375876687,0.6588082562655945,0.29217598034139347,-0.44418485262275853,0.893386942691546,0.6577801530515842,10.146120787152228,0.33702562030935157,0.2182764080524768,0.409409635828998,0.37231395611852525
hier,100,0.0,20,0.93,20,0.0,20,0.5,5,20,-99.0,,60,,0.21718017018069125,-0.4170007011743211,0.7862828401806097,0.5208148800927369,0.25407830278833554,-0.40559141177930413,0.7089668259356592,0.6264390601213915,0.23466021623246425,-0.4170007011743211,0.7561974688785092,0.5627333852716184,7.8660936439719515,0.3385955675172559,0.2286812938249265,0.4089572494910654,0.36236145668400815
hier,100,0.0,20,0.93,20,0.0,20,0.7,1,20,-99.0,,60,,0.22278215241094723,-0.42887750868191366,0.8029431370624106,0.5194540350125436,0.18302816561825308,-0.48958050446375934,0.5485167805450573,0.37384692394711466,0.2115054850098368,-0.4895805044637598,0.6869826473451193,0.4320136996498664,26.505315539470708,0.3524317597273768,0.22393123727663425,0.5163990047500565,0.2596697579733092
hier,100,0.0,20,0.93,20,0.0,20,0.7,3,20,-99.0,,60,,0.3289664016029141,-0.31474739931690854,1.007280955308393,1.0451759166775163,0.32524948561335454,-0.4795440410028059,0.7991544031858397,0.6782473720937165,0.3316878175626916,-0.47954404100280545,0.9144465200038594,0.6916733171557671,10.431124180049762,0.3788650919680284,0.2182764080524768,0.5315539470707985,0.2501696448767247
hier,100,0.0,20,0.93,20,0.0,20,0.7,5,20,-99.0,,60,,0.26371112496707827,-0.4536468772257164,0.8436516596203026,0.5813136565158504,0.3149930147650377,-0.4658056180292418,0.7740885406483663,0.6762327515450092,0.2866201272043063,-0.4658056180292419,0.8132351916100091,0.615321318830279,7.695091608233431,0.3879366655020525,0.227550327980095,0.5406016738294503,0.23184799819045465
hier,100,0.0,20,0.93,20,0.0,20,0.9,1,20,-99.0,,60,,0.24312026598420244,-0.3881817942767716,0.8046231336856694,0.6263051734230971,0.2432307081286078,-0.5715256204078012,0.6484737703188865,0.42558146029403754,0.24701245271389327,-0.5715256204078005,0.7332832625133073,0.43219838952738904,26.67631757520923,0.38743828995797863,0.22393123727663425,0.5905903641710021,0.18547839855236373
hier,100,0.0,20,0.93,20,0.0,20,0.9,3,20,-99.0,,60,,0.33986493282539376,-0.4766950160772986,0.9656732765450997,0.7129609527326858,0.37073118512242176,-0.5055058457459047,0.8445565490885638,0.7333865438793992,0.3555094793375304,-0.505505845745905,0.9126461810593177,0.7032747144851595,9.519113322777653,0.4149115043322794,0.2185026012214431,0.6064238859986428,0.17507351277991404
hier,100,0.0,20,0.93,20,0.0,20,0.9,5,20,-99.0,,60,,0.23752551136391298,-0.6123768692700571,0.7416948017350307,0.3878747276118371,0.1776629914163268,-0.6866302338960146,0.5297968653160087,0.2587462401826492,0.21855797985605285,-0.6866302338960144,0.6433997314262873,0.31830520863599493,7.068084143858855,0.44377712569082767,0.22958606650079166,0.6193168966297218,0.15109703686948653
hier,100,0.0,20,0.93,20,0.0,20,,1,20,-99.0,,60,,0.23025874934362434,-0.39533421135433733,0.7673117089685584,0.5824407368003975,0.17291545580488754,-0.6349957426110968,0.5203578359249552,0.2723096301305277,0.21224075696657052,-0.6349957426110974,0.6523709130808322,0.3342396534720662,28.158335218276406,0.3998340280238854,0.22393123727663425,0.6143406469124633,0.16172811581090252
